"symbol","log2fc","effectsize","pvalue","pvalue_adjust","hgnc_id","hgnc_symbol","entrez_id","gene","signif"
"RPS4X",-2.77753482327655,-26.1036141433108,1.62585755898532e-13,5.00717001861422e-12,"HGNC:10424","RPS4X",6191,6191,TRUE
"MSI2",-1.7109299646325,-26.0777920491963,1.64869485889596e-13,5.04097348943011e-12,"HGNC:18585","MSI2",124540,124540,TRUE
"COPG2",-1.60940202253742,-26.0622910946631,1.66256844357996e-13,5.0450070377816e-12,"HGNC:2237","COPG2",26958,26958,TRUE
"SMPD1",-1.98429969483174,-26.0498923391286,1.67375527606401e-13,5.0450070377816e-12,"HGNC:11120","SMPD1",6609,6609,TRUE
"DNAJC10",-1.90723490389075,-25.9770917432209,1.741083083309e-13,5.18915855802091e-12,"HGNC:24637","DNAJC10",54431,54431,TRUE
"H1-0",-4.03093833071703,-25.959298629838,1.75797474710831e-13,5.18915855802091e-12,"HGNC:4714","H1-0",3005,3005,TRUE
"FUS",-4.21654404041119,-25.9590531432318,1.75820901730591e-13,5.18915855802091e-12,"HGNC:4010","FUS",2521,2521,TRUE
"RPS5",-2.86973148443715,-25.9386620976767,1.77778529900935e-13,5.21075001433775e-12,"HGNC:10426","RPS5",6193,6193,TRUE
"DHX15",-2.89253196906136,-25.9110335200291,1.80468221498514e-13,5.25335576279921e-12,"HGNC:2738","DHX15",1665,1665,TRUE
"SRSF2",-3.94671653127325,-25.8460096795616,1.86971457812519e-13,5.39358978613959e-12,"HGNC:10783","SRSF2",6427,6427,TRUE
"RTCB",-1.75838681386296,-25.8376665414418,1.87823832552626e-13,5.39358978613959e-12,"HGNC:26935","RTCB",51493,51493,TRUE
"RPS14",-3.13305994246362,-25.816728804739,1.89981263912422e-13,5.40809888693568e-12,"HGNC:10387","RPS14",6208,6208,TRUE
"YTHDF3",-2.08681082442357,-25.8081382876423,1.90874078362436e-13,5.40809888693568e-12,"HGNC:26465","YTHDF3",253943,253943,TRUE
"HEXB",-2.10573021867202,-25.7468188039714,1.97378675431043e-13,5.55536007007903e-12,"HGNC:4879","HEXB",3074,3074,TRUE
"CIRBP",-2.71972708444049,-25.5253309467626,2.22918302738234e-13,6.21257698643977e-12,"HGNC:1982","CIRBP",1153,1153,TRUE
"SEC13",-1.50459526057796,-25.5193689903975,2.23652771511832e-13,6.21257698643977e-12,"HGNC:10697","SEC13",6396,6396,TRUE
"KHDRBS3",-3.19000468252896,-25.4935825863645,2.26859362536489e-13,6.26072916090959e-12,"HGNC:18117","KHDRBS3",10656,10656,TRUE
"SSB",-2.2201081728123,-25.427264223255,2.35333890147298e-13,6.42495916995188e-12,"HGNC:11316","SSB",6741,6741,TRUE
"DARS1",-1.48297335416551,-25.4234321702664,2.35833795414704e-13,6.42495916995188e-12,"HGNC:2678","DARS1",1615,1615,TRUE
"RPL11",-2.87985336124959,-25.3828058990213,2.41203948539076e-13,6.5294062502616e-12,"HGNC:10301","RPL11",6135,6135,TRUE
"HSPA5",-2.57418304230063,-25.2965809888631,2.53039191527645e-13,6.7568600205884e-12,"HGNC:5238","HSPA5",3309,3309,TRUE
"EIF3D",-1.97433954280346,-25.2887735069766,2.54141066828291e-13,6.7568600205884e-12,"HGNC:3278","EIF3D",8664,8664,TRUE
"EIF2S2",-1.81278433856561,-25.2871141928984,2.54375906657445e-13,6.7568600205884e-12,"HGNC:3266","EIF2S2",8894,8894,TRUE
"NASP",-3.1668187964169,-25.2634298962683,2.57753288727739e-13,6.77779066655437e-12,"HGNC:7644","NASP",4678,4678,TRUE
"PURG",-2.42645381584583,-25.2592560157996,2.58353432466308e-13,6.77779066655437e-12,"HGNC:17930","PURG",29942,29942,TRUE
"RPL30",-2.51244077414107,-25.1745752955769,2.70857215496249e-13,7.06222801140526e-12,"HGNC:10333","RPL30",6156,6156,TRUE
"GCN1",-1.54822472221189,-24.9764374254065,3.027106653497e-13,7.84463614473307e-12,"HGNC:4199","GCN1",10985,10985,TRUE
"SNRNP70",-3.8989416342124,-24.9341817766028,3.10008157441809e-13,7.98505860077388e-12,"HGNC:11150","SNRNP70",6625,6625,TRUE
"RER1",-2.24022854485084,-24.860739995855,3.23142287980492e-13,8.22368098153948e-12,"HGNC:30309","RER1",11079,11079,TRUE
"GM2A",-1.90786124164048,-24.8331125771776,3.28235863235357e-13,8.2713308452387e-12,"HGNC:4367","GM2A",2760,2760,TRUE
"CNOT1",-1.51039544117599,-24.8167047363808,3.31301454883895e-13,8.2713308452387e-12,"HGNC:7877","CNOT1",23019,23019,TRUE
"HNRNPDL",-3.72227848751831,-24.7984231453987,3.34753187469939e-13,8.2713308452387e-12,"HGNC:5037","HNRNPDL",9987,9987,TRUE
"EMC1",-1.78697530394694,-24.795854658048,3.35241210614006e-13,8.2713308452387e-12,"HGNC:28957","EMC1",23065,23065,TRUE
"KHDRBS1",-3.74208082288113,-24.7929433372654,3.35795292475186e-13,8.2713308452387e-12,"HGNC:18116","KHDRBS1",10657,10657,TRUE
