"","symbol","log2fc","effectsize","pvalue","pvalue_adjust","hgnc_id","hgnc_symbol","entrez_id","gene","signif"
"2801","GTPBP2",-0.803598890977229,-0.803598890977229,3.88673402476316e-05,0.000162238264761774,"HGNC:4670","GTPBP2",54676,54676,FALSE
"2802","SLC35G2",-1.18895835090286,-1.18895835090286,3.8898571874038e-05,0.000162321278782622,"HGNC:28480","SLC35G2",80723,80723,FALSE
"2803","TMT1A",-0.838872519643959,-0.838872519643959,3.89804099914786e-05,0.000162567964607423,"HGNC:24550","TMT1A",25840,25840,FALSE
"2804","PPID",-0.768001734207733,-0.768001734207733,3.91514625210277e-05,0.000163233763756814,"HGNC:9257","PPID",5481,5481,FALSE
"2805","CKAP5",0.53059470863467,0.53059470863467,3.91810628680407e-05,0.000163309591779433,"HGNC:28959","CKAP5",9793,9793,FALSE
"2806","BICD1",0.645166475113099,0.645166475113099,3.92703845762478e-05,0.000163634226238069,"HGNC:1049","BICD1",636,636,FALSE
"2807","IDI1",-0.753252243184523,-0.753252243184523,3.93604151923914e-05,0.000163961624741755,"HGNC:5387","IDI1",3422,3422,FALSE
"2808","IMP3",-1.13418807460735,-1.13418807460735,3.93913416392177e-05,0.00016404269718148,"HGNC:14497","IMP3",55272,55272,FALSE
"2809","HNRNPA1",0.671329242022078,0.671329242022078,3.94070180597583e-05,0.000164060233173431,"HGNC:5031","HNRNPA1",3178,3178,FALSE
"2810","NUP205",-0.620724534838561,-0.620724534838561,3.98105279083181e-05,0.000165691926655068,"HGNC:18658","NUP205",23165,23165,FALSE
"2811","ILF2",-0.613788923169192,-0.613788923169192,3.98861866044315e-05,0.000165958547287819,"HGNC:6037","ILF2",3608,3608,FALSE
"2812","RASD2",1.09644400377033,1.09644400377033,4.00341806272045e-05,0.000166525898428683,"HGNC:18229","RASD2",23551,23551,FALSE
"2813","POLR1C",-0.808416238833823,-0.808416238833823,4.03052958903025e-05,0.000167604905229392,"HGNC:20194","POLR1C",9533,9533,FALSE
"2814","CNNM2",-0.77895234550547,-0.77895234550547,4.05529434634175e-05,0.000168550915973387,"HGNC:103","CNNM2",54805,54805,FALSE
"2815","GGACT",1.10478650394116,1.10478650394116,4.05563494092089e-05,0.000168550915973387,"HGNC:25100","GGACT",87769,87769,FALSE
"2816","NFXL1",-0.746906226341748,-0.746906226341748,4.09049775726715e-05,0.000169950442534076,"HGNC:18726","NFXL1",152518,152518,FALSE
"2817","PGAM5",-0.61548027595063,-0.61548027595063,4.09454690469977e-05,0.000170069293641071,"HGNC:28763","PGAM5",192111,192111,FALSE
"2818","WDR5",-0.687446361896093,-0.687446361896093,4.10394754640357e-05,0.000170410288570774,"HGNC:12757","WDR5",11091,11091,FALSE
"2819","SNTA1",0.745419274371615,0.745419274371615,4.12921995616523e-05,0.000171409945903012,"HGNC:11167","SNTA1",6640,6640,FALSE
"2820","HSD17B8",0.661769311415579,0.661769311415579,4.14154094375374e-05,0.00017187154687985,"HGNC:3554","HSD17B8",7923,7923,FALSE
"2821","DDX5",-0.625194510006949,-0.625194510006949,4.167151108815e-05,0.000172884213441675,"HGNC:2746","DDX5",1655,1655,FALSE
"2822","EPG5",-0.553109091357233,-0.553109091357233,4.22933174312653e-05,0.000175362236778898,"HGNC:29331","EPG5",57724,57724,FALSE
"2823","CEP89",0.814979477032367,0.814979477032367,4.2412890644414e-05,0.00017580708349679,"HGNC:25907","CEP89",84902,84902,FALSE
"2824","COPS3",-0.710498620394241,-0.710498620394241,4.27012210547059e-05,0.000176950991043089,"HGNC:2239","COPS3",8533,8533,FALSE
"2825","ARHGEF10L",0.675761131856828,0.675761131856828,4.2739146506667e-05,0.000177056875322495,"HGNC:25540","ARHGEF10L",55160,55160,FALSE
"2826","TDP2",-0.883098321991775,-0.883098321991775,4.28993763103122e-05,0.000177617817020908,"HGNC:17768","TDP2",51567,51567,FALSE
"2827","TUBG1",-0.924326466684797,-0.924326466684797,4.31709489751892e-05,0.00017869051457506,"HGNC:12417","TUBG1",7283,7283,FALSE
"2828","SOX9",0.609197608704817,0.609197608704817,4.31917999450397e-05,0.000178725120131166,"HGNC:11204","SOX9",6662,6662,FALSE
"2829","ASB6",-0.970015884472413,-0.970015884472413,4.33391134580834e-05,0.000179282848936604,"HGNC:17181","ASB6",140459,140459,FALSE
"2830","AP1G2",-1.16740350574188,-1.16740350574188,4.35747037803978e-05,0.000180205328437489,"HGNC:556","AP1G2",8906,8906,FALSE
"2831","PRMT9",-0.735403814213573,-0.735403814213573,4.3864715649285e-05,0.000181352272818728,"HGNC:25099","PRMT9",90826,90826,FALSE
"2832","CUL3",0.575961706753954,0.575961706753954,4.43426501849864e-05,0.00018327526906325,"HGNC:2553","CUL3",8452,8452,FALSE
"2833","RBAK",-0.963677462857525,-0.963677462857525,4.45228614082566e-05,0.000183966971958055,"HGNC:17680","RBAK",57786,57786,FALSE
"2834","PLPPR5",-0.895941806794486,-0.895941806794486,4.4624303672151e-05,0.000184332898742728,"HGNC:31703","PLPPR5",163404,163404,FALSE
"2835","LOXL3",-1.09495063689101,-1.09495063689101,4.49812940974162e-05,0.000185753921281365,"HGNC:13869","LOXL3",84695,84695,FALSE
"2836","TVP23A",-1.12535824765636,-1.12535824765636,4.50764269062521e-05,0.000186093073456884,"HGNC:20398","TVP23A",780776,780776,FALSE
"2837","LETM1",0.538561942532102,0.538561942532102,4.52390165830965e-05,0.000186710437925448,"HGNC:6556","LETM1",3954,3954,FALSE
"2838","ARFGEF3",-0.631044655631413,-0.631044655631413,4.5405752608415e-05,0.000187344554231203,"HGNC:21213","ARFGEF3",57221,57221,FALSE
"2839","POLE4",0.774884952992637,0.774884952992637,4.5425582121463e-05,0.000187372342051316,"HGNC:18755","POLE4",56655,56655,FALSE
"2840","RABGGTB",-0.5501583523778,-0.5501583523778,4.55207016073635e-05,0.000187710581930768,"HGNC:9796","RABGGTB",5876,5876,FALSE
"2841","HIRIP3",0.953248507080922,0.953248507080922,4.56658889438874e-05,0.000188255028780779,"HGNC:4917","HIRIP3",8479,8479,FALSE
